Crypto Scam URL,Scam Type
https://wealthbax.com/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://h5.wealthbax.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
h5.wealthbax.com/#/,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
h5.wealthbax.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
wealthbax.com,"Fraudulent Trading Platform

Pig Butchering Scam

Romance Scam"
https://web.directcurrent.top/mobile/home,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam"
web.directcurrent.top,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam"
https://sildgroup.co/index.html#/home,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://sildgroup.co,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
sild.us,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://www.btm-vip.com/#/,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam

Romance Scam"
www.bitaeqcke.net,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam

Romance Scam"
bitaeqcke.net,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam

Romance Scam"
btm-vip.com,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam

Romance Scam"
https://webelon.org,"Fraudulent Trading Platform

Imposter Scam

Crypto Giveaway/Airdrop Scam

Pig Butchering Scam"
webelon.org,"Fraudulent Trading Platform

Imposter Scam

Crypto Giveaway/Airdrop Scam

Pig Butchering Scam"
https://capiturly.io/,"Fraudulent Trading Platform

Pig Butchering Scam"
Capiturly.io,"Fraudulent Trading Platform

Pig Butchering Scam"
https://cfxlifestyle.com/,"Fraudulent Trading Platform

Pig Butchering Scam"
cfxlifestyle.com,"Fraudulent Trading Platform

Pig Butchering Scam"
https://yfiapp.com,"Fraudulent Trading Platform

Pig Butchering Scam"
www.YFIAPP.com,"Fraudulent Trading Platform

Pig Butchering Scam"
yfiapp.com,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.yfiapp.com/#/trading,"Fraudulent Trading Platform

Pig Butchering Scam"
https://bybukx.com/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://bybukx.com,"Fraudulent Trading Platform

Pig Butchering Scam"
bybukx.com,"Fraudulent Trading Platform

Pig Butchering Scam"
0xlayer.top,"Fraudulent Trading Platform

Pig Butchering Scam"
https://0xlayer.top,"Fraudulent Trading Platform

Pig Butchering Scam"
0xcry.xyz,"Fraudulent Trading Platform

Pig Butchering Scam"
https://mvxnft.net,"Fraudulent Trading Platform

Pig Butchering Scam"
http://www.mvxnft.net,"Fraudulent Trading Platform

Pig Butchering Scam"
mvxnft.net,"Fraudulent Trading Platform

Pig Butchering Scam"
multiversx.zendesk.com,"Fraudulent Trading Platform

Pig Butchering Scam"
coinwns.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
coinns.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
coinsns.com,"Fraudulent Trading Platform

Pig Butchering Scam

Investment Group Scam"
https://xai-official.org/swap,"Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam"
https://h5.opacoin.net,"Investment Group Scam

Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam"
h5.opacoin.net,"Investment Group Scam

Fraudulent Trading Platform

Imposter Scam

Pig Butchering Scam"
https://trade.platform-seikum.org/,"Fraudulent Trading Platform

Pig Butchering Scam"
https://trade.platform-seikum.org/finances/history,"Fraudulent Trading Platform

Pig Butchering Scam"
https://Seikum.com,"Fraudulent Trading Platform

Pig Butchering Scam"
Seikum.com,"Fraudulent Trading Platform

Pig Butchering Scam"
seikum.org,"Fraudulent Trading Platform

Pig Butchering Scam"
trade.platform-seikum.org,"Fraudulent Trading Platform

Pig Butchering Scam"
https://www.fucoins.com/#/login?redirect=%2F,"Fraudulent Trading Platform

Pig Butchering Scam

Signal Selling Scam

Investment Group Scam"
